Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Number,Cycle Time,Cycle Type
Ak,2025nytr,qm,31,r1,3044,7,5.2,tc3
Ak,2025nytr,qm,31,r1,3044,8,6.6,tc4
Ak,2025nytr,qm,31,r1,3044,9,9,tc4
Ak,2025nytr,qm,31,r1,3044,10,14.6,tc4
Ak,2025nytr,qm,31,r1,3044,11,5,tc4
Ak,2025nytr,qm,31,r1,3044,12,7,tc4
Ak,2025nytr,qm,31,r1,3044,13,8,tc4
J,2025nytr,qm,31,r3,6463,0,81.2,tc1
J,2025nytr,qm,31,r3,6463,1,9.1,tc1
DD,2025nytr,qm,32,b2,870,0,9.3,tc4
DD,2025nytr,qm,32,b2,870,1,11.7,tc4
DD,2025nytr,qm,32,b2,870,2,12.7,tc4
DD,2025nytr,qm,32,b2,870,3,10.6,tc4
DD,2025nytr,qm,32,b2,870,4,8.9,tc4
DD,2025nytr,qm,32,b2,870,5,16.2,tc1
DD,2025nytr,qm,32,b2,870,6,7,tc3
DD,2025nytr,qm,32,b2,870,7,7,tc3
DD,2025nytr,qm,32,b2,870,8,8.8,tc3
J,2025nytr,qm,32,r3,1796,0,13.1,tap
J,2025nytr,qm,32,r3,1796,1,12,tap
J,2025nytr,qm,32,r3,1796,2,4.7,tc4
J,2025nytr,qm,32,r3,1796,3,6.9,tc4
J,2025nytr,qm,32,r3,1796,4,4.6,tc4
J,2025nytr,qm,32,r3,1796,5,5.1,tc4
J,2025nytr,qm,32,r3,1796,6,5.8,tc2
J,2025nytr,qm,32,r3,1796,7,4.7,tc3
J,2025nytr,qm,32,r3,1796,8,4.7,tc3
J,2025nytr,qm,32,r3,1796,9,3.1,tc3
J,2025nytr,qm,32,r3,1796,10,3,tc2
J,2025nytr,qm,32,r3,1796,11,3.9,tc2
J,2025nytr,qm,32,r3,1796,12,4.7,tc2
J,2025nytr,qm,32,r3,1796,13,4.3,tc3
J,2025nytr,qm,32,r3,1796,14,14.4,tap
J,2025nytr,qm,32,r3,1796,15,13.8,tc3
ap,2025nytr,qm,32,r2,424,0,4.2,tc1
ap,2025nytr,qm,32,r2,424,1,13,tc1
ap,2025nytr,qm,32,r2,424,2,33.2,tc2
ap,2025nytr,qm,32,r2,424,3,13.3,tc3
ap,2025nytr,qm,32,r2,424,4,12.3,tc4
Ak,2025nytr,qm,32,r1,810,0,33.6,tap
Ak,2025nytr,qm,32,r1,810,1,24.8,tc2
Ak,2025nytr,qm,32,r1,810,2,9,tc2
Ak,2025nytr,qm,32,r1,810,3,15.2,tc1
Ak,2025nytr,qm,32,r1,810,4,10.8,tc3
Ak,2025nytr,qm,32,r1,810,5,21,tc1
Ak,2025nytr,qm,32,r1,810,6,8.6,tc4
Eg,2025nytr,qm,32,b3,5528,0,10.4,tc4
Eg,2025nytr,qm,32,b3,5528,1,9.7,tc4
Eg,2025nytr,qm,32,b3,5528,2,20.6,tc4
Eg,2025nytr,qm,32,b3,5528,3,18,tc4
Eg,2025nytr,qm,32,b3,5528,4,12.9,tc3
Eg,2025nytr,qm,32,b3,5528,5,18.5,tc3
Eg,2025nytr,qm,33,b3,2791,0,28.2,tc4
Eg,2025nytr,qm,33,b3,2791,1,22.4,tc4
Eg,2025nytr,qm,33,b3,2791,2,37.5,tc4
ap,2025nytr,qm,33,r2,334,0,7,tc2
ap,2025nytr,qm,33,r2,334,1,43.5,tc4
ap,2025nytr,qm,33,r2,334,2,14.5,tc4
ap,2025nytr,qm,33,r2,334,3,46.5,tc4
DD,2025nytr,qm,33,b2,7030,0,,{}
ML,2025nytr,qm,33,b1,1518,0,,{}
J,2025nytr,qm,33,r3,7031,0,6.3,tap
J,2025nytr,qm,33,r3,7031,1,17.1,tap
Ak,2025nytr,qm,33,r1,7759,0,22.6,tc1
Eg,2025nytr,qm,34,b3,1591,0,28.7,tap
Eg,2025nytr,qm,34,b3,1591,1,6.2,tc4
Eg,2025nytr,qm,34,b3,1591,2,18.9,tap
Eg,2025nytr,qm,34,b3,1591,3,7.9,tap
Eg,2025nytr,qm,34,b3,1591,4,15.8,tap
DD,2025nytr,qm,34,b2,3171,0,40.1,tc3
DD,2025nytr,qm,34,b2,3171,1,58.7,tc3
Ak,2025nytr,qm,34,r1,1880,0,2,tc2
Ak,2025nytr,qm,34,r1,1880,1,18.3,tc3
Ak,2025nytr,qm,34,r1,1880,2,10.6,tc2
Ak,2025nytr,qm,34,r1,1880,3,12,tc3
Ak,2025nytr,qm,34,r1,1880,4,8.1,tc3
Ak,2025nytr,qm,34,r1,1880,5,9.7,tc2
J,2025nytr,qm,34,r3,10714,0,,{}
ML,2025nytr,qm,34,b1,3950,0,8.4,tc2
ML,2025nytr,qm,34,b1,3950,1,7.2,tc2
ML,2025nytr,qm,34,b1,3950,2,12.3,tc2
ML,2025nytr,qm,34,b1,3950,3,13.7,tc4
ML,2025nytr,qm,34,b1,3950,4,14.6,tc2
ML,2025nytr,qm,34,b1,3950,5,17.8,tc2
ML,2025nytr,qm,34,b1,3950,6,13.4,tc3
ML,2025nytr,qm,34,b1,3950,7,7.2,tc3
ML,2025nytr,qm,34,b1,3950,8,7.8,tc3
ML,2025nytr,qm,34,b1,3950,9,25.1,tc4
Eg,2025nytr,qm,35,b3,3117,0,,{}
DD,2025nytr,qm,35,b2,3550,0,6.6,tc4
DD,2025nytr,qm,35,b2,3550,1,16.2,tc3
DD,2025nytr,qm,35,b2,3550,2,14.4,tap
DD,2025nytr,qm,35,b2,3550,3,5.8,tc4
DD,2025nytr,qm,35,b2,3550,4,36.6,tap
DD,2025nytr,qm,35,b2,3550,5,24.5,tc4
CW,2025nytr,qm,35,r2,4458,0,4.4,tc4
CW,2025nytr,qm,35,r2,4458,1,9.1,tc4
CW,2025nytr,qm,35,r2,4458,2,11.2,tc4
CW,2025nytr,qm,35,r2,4458,3,35.1,tc3
CW,2025nytr,qm,35,r2,4458,4,5.1,tc3
CW,2025nytr,qm,35,r2,4458,5,8.3,tc2
Ak,2025nytr,qm,35,r1,6648,0,42.3,tap
J,2025nytr,qm,35,r3,20,0,26.8,tc4
J,2025nytr,qm,35,r3,20,1,23.3,tc4
J,2025nytr,qm,35,r3,20,2,13.6,tc4
J,2025nytr,qm,35,r3,20,3,7.5,tc3
J,2025nytr,qm,35,r3,20,4,6.7,tc3
J,2025nytr,qm,35,r3,20,5,10,tc3
ML,2025nytr,qm,35,b1,6911,0,3,tc4
CW,2025nytr,qm,36,r2,7504,0,1.1,tc4
CW,2025nytr,qm,36,r2,7504,1,19.5,tc4
CW,2025nytr,qm,36,r2,7504,2,17.5,tan
CW,2025nytr,qm,36,r2,7504,3,38.9,tc4
CW,2025nytr,qm,36,r2,7504,4,31.5,tc4
CW,2025nytr,qm,36,r2,7504,5,14.3,tc4
Ak,2025nytr,qm,36,r1,578,0,24.1,tc3
Ak,2025nytr,qm,36,r1,578,1,19.9,tc3
Ak,2025nytr,qm,36,r1,578,2,13.3,tc3
Ak,2025nytr,qm,36,r1,578,3,37.6,tc3
Ak,2025nytr,qm,36,r1,578,4,19.1,tc3
Jl,2025nytr,qm,36,b3,3173,0,6.7,tc1
Jl,2025nytr,qm,36,b3,3173,1,8.8,tc4
Jl,2025nytr,qm,36,b3,3173,2,7.1,tc1
Jl,2025nytr,qm,36,b3,3173,3,6,tc1
Jl,2025nytr,qm,36,b3,3173,4,12.5,tc4
Jl,2025nytr,qm,36,b3,3173,5,14,tc4
Jl,2025nytr,qm,36,b3,3173,6,7,tc1
Jl,2025nytr,qm,36,b3,3173,7,5.7,tc4
Jl,2025nytr,qm,36,b3,3173,8,7.8,tc4
