Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Coral Level 4,Auto Coral Level 3,Auto Coral Level 2,Auto Coral Level 1,Auto Coral Miss,Auto Algae Processor,Auto Algae Net,Auto Algae Remove From Reef,Leave,Cycle Timer,Cycle Type,Teleop Coral Level 4,Teleop Coral Level 3,Teleop Coral Level 2,Teleop Coral Level 1,Teleop Coral Miss,Teleop Algae Processor,Teleop Algae Net,Teleop Algae Miss,Teleop Algae Removed From Reef,Pickup From Floor,Pickup From Coral Station,Endgame State,Played Defense,Was Defended,Died,Tippy,Yellow Card,Red Card,Egregiously Bad Event,Comment
ap,2025nytr,qm,10,r3,2053,0,0,0,0,0,0,0,0,1,"12.5,29.5,12.2,21.4,14.5,23.3","tap,tc2,tc3,tc3,tc2,tc3",0,3,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Ak,2025nytr,qm,10,r2,3550,0,0,0,0,1,0,0,0,0,"51.9,1.7,1.8,10.1,29.3,15.8,1.1,12.7","tc4,tc3,tap,tap,tap,tap,tap,tap",1,1,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,the first three times are messed up so use the other times for any calculations 
J,2025nytr,qm,10,r1,1468,3,0,0,0,0,0,0,0,0,"6,8.6,9,6,31.8,3.2,9.8,8.3,9.3,15.1","tc4,tc4,tc3,tc3,tc2,tc2,tc2,tc2,tc4,tc4",4,2,4,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0
CW,2025nytr,qm,11,r3,6401,1,0,0,0,0,0,0,0,0,,{},0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,slow caused traffic 
DD,2025nytr,qm,11,b2,20,2,0,0,0,0,0,0,0,1,"4.7,12.5,14.7,9.8,9.4,13.8,12.2,13.9,7.5,12.7","tc4,tc4,tc3,tc3,tc3,tc2,tc2,tc2,tc2,tc1",2,3,4,1,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0
Ak,2025nytr,qm,11,r2,8067,0,0,0,0,0,0,0,0,1,81,tc4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,went on to of an algae 
J,2025nytr,qm,11,r1,191,3,0,0,0,0,0,0,0,1,"3.7,18","tc4,tc4",2,0,0,0,1,0,0,0,1,0,1,3,1,0,0,0,0,0,0
Jl ,2025nytr,qm,11,b1,7605,1,0,0,0,0,0,0,0,0,"18.5,15,15.6,24.5","tc4,tc3,tc4,tc3",2,2,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,:3
ML,2025nytr,qm,11,b3,3950,3,0,0,0,0,0,0,0,1,"21.2,17.3,9.8,20.7,9.9,20.4,17.4,7.9,5.8","tc4,tc3,tc4,tc3,tc2,tc2,tc2,tc2,tc3",2,3,4,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ak,2025nytr,qm,12,r2,5149,0,0,0,0,0,0,0,0,1,"11.1,71.1","tc3,tc2",0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Went on top of something and got stuck 
CW,2025nytr,qm,12,r3,6648,0,0,0,0,0,0,0,0,0,27,tap,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,got stuck on algae 
J,2025nytr,qm,12,r1,3173,3,0,0,0,0,0,0,0,1,"25.6,6.1,25.8,52.4","tc4,tc4,tc4,tc4",4,0,0,0,4,0,0,0,3,0,1,3,0,0,0,0,0,0,0,Freed the robot stuck on coral.
DD,2025nytr,qm,12,b2,6463,0,0,0,0,0,0,0,0,0,,{},0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ML,2025nytr,qm,12,b3,10714,0,0,0,1,0,0,0,0,1,"77.1,7.4,8.6,12.1,8.1","tc1,tc1,tc1,tc1,tc1",0,0,0,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,caused penalties 
DD,2025nytr,qm,12,b1,870,3,0,0,0,0,0,0,0,0,"3.6,9.2,8.9,14.6,11.9,8.5,11,12.7,24.9","tc4,tc4,tc4,tc4,tc4,tc4,tc4,tc4,tc3",8,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0
DD,2025nytr,qm,13,b1,4458,2,0,0,0,0,0,0,0,1,"1.1,20.5,13,10.7,9.9","tc4,tc4,tc4,tc4,tc4",5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DD,2025nytr,qm,13,b2,1880,0,0,0,0,0,0,0,0,1,"9.6,28.1,8.4,18.3,9.4,33.7","tc1,tc2,tc3,tc3,tc2,tc2",0,2,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CW,2025nytr,qm,13,r3,358,0,0,0,0,0,0,0,0,0,56.6,tc4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,poor teamwork 
ML,2025nytr,qm,13,b3,229,0,0,0,0,0,0,0,0,0,,{},0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
J,2025nytr,qm,13,r1,3181,0,0,0,0,2,0,0,0,1,,,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Didn't do anything.
Ak,2025nytr,qm,13,r2,7759,0,0,0,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CW,2025nytr,qm,14,r3,3044,0,0,0,0,0,0,0,0,1,"3.3,5.7,8.8,8.3,7.1,6.3,7.3,6.4,6.3,11,10.8,6.4,6.5,6.9,13.1","tc4,tc4,tc4,tc4,tc3,tc3,tc3,tc3,tc3,tc2,tc2,tc2,tc4,tc4,tc4",7,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
eg,2025nytr,qm,14,b2,334,0,0,0,0,0,0,0,0,1,,{},0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,was extremely jerky
Ak,2025nytr,qm,14,r2,9468,0,0,0,0,0,0,0,0,1,"18.1,21.6,39.4,32.5","tc2,tc2,tc2,tc3",0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
DD,2025nytr,qm,14,b1,6300,0,0,0,0,0,0,0,0,1,"25.1,11.9,59.1","tc3,tc3,tc3",0,3,0,0,1,0,0,0,2,0,1,3,0,0,0,0,0,0,0
ML,2025nytr,qm,14,b3,810,1,0,0,0,1,0,0,0,1,"12.2,12.1,8.3,9.6,18.1,5.7,10.3,24.3,17.7,13.9","tc4,tap,tap,tc4,tc1,tc4,tc4,tc4,tc4,tc1",6,0,0,2,2,2,0,0,2,0,1,1,0,0,0,0,0,0,0
J,2025nytr,qm,14,r1,4571,0,0,0,0,0,0,0,0,1,"38.1,15.5","tap,tap",0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0
eg,2025nytr,qm,15,b2,7031,0,0,0,0,0,0,0,0,1,67,tap,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,bad driver
CW,2025nytr,qm,15,r3,250,0,0,0,0,0,0,0,0,1,"28.1,38.7,52.7","tap,tc3,tap",0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0
J,2025nytr,qm,15,r1,578,0,0,0,1,0,0,0,0,1,"31.9,27.4,23.7,19.8,24.1","tc4,tc4,tc4,tc3,tc3",3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ak,2025nytr,qm,15,r2,9624,0,0,0,0,2,0,0,0,0,"41,15.4,20.5,35","tc4,tc4,tc1,tc4",3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DD,2025nytr,qm,15,b1,3003,1,0,0,0,0,0,0,0,1,"3.7,8.6,17.1,4.9,5.5,7.3,9.3,10.5,10.5","tc4,tc4,tc4,tc4,tc4,tc4,tc4,tc4,tc4",9,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0
ML,2025nytr,qm,15,b3,6806,0,0,0,0,0,0,0,0,1,"14.3,28.3,17,23.6,17.3,24.4","tc2,tc3,tc3,tc2,tc2,tc2",0,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ML,2025nytr,qm,16,b3,7030,0,0,0,0,0,0,0,0,1,101.3,tc1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jp,2025nytr,qm,16,b1,1796,3,0,0,0,0,0,0,0,0,"0.7,12.2,3,11.2,5.3,11.3,6.1,9.2,7.8,5.4,6.5,3.2,4.4,5.2,6.4","tc4,tan,tc4,tc4,tc3,tan,tc3,tap,tan,tc2,tc2,tc2,tc2,tc4,tc4",5,2,4,0,0,1,3,0,3,0,0,3,0,0,0,0,0,0,0,#1 robot by far 
df,2025nytr,qm,16,b2,2875,2,0,0,0,0,0,0,0,0,"3.9,10,12.6,14.8,6.5,6.5,22.8,32,8.7,7.8","tc4,tap,tap,tc3,tc3,tc3,tc2,tc4,tc3,tc4",3,4,1,0,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,trouble at l2
JP,2025nytr,qm,16,r1,2601,1,0,0,0,1,0,0,0,1,"6.2,6.3,13.7,11,12.2,7.1,9.7","tc4,tc2,tc4,tc4,tc2,tc3,tc4",4,1,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CW,2025nytr,qm,16,r3,2869,0,0,0,0,0,0,0,0,0,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ak,2025nytr,qm,16,r2,7504,0,0,0,0,0,0,0,0,1,"3,17.5,8.9,10.1,9.6,19.2,12.7,11.9,21.1","tap,tap,tc4,tc4,tc4,tc4,tc4,tc4,tc2",6,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
JP,2025nytr,qm,17,r1,5528,1,0,0,0,0,0,0,0,1,"17.2,12.5,22.6,14.9,18.9,15,10.7","tc4,tc4,tc4,tc4,tc4,tc3,tc3",5,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
CW,2025nytr,qm,17,r3,6911,0,0,0,0,1,0,0,0,1,41.9,tc4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ay,2025nytr,qm,17,b3,424,0,0,0,0,0,0,0,0,1,"17.6,33.1,14.6,15.3,20.4,37.8","tan,tan,tc3,tan,tan,tc2",0,1,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
Ak,2025nytr,qm,17,r2,1126,0,0,0,0,0,0,0,0,1,"10.9,8.1,11.1,16.2,15.2,15.4","tc4,tc4,tc4,tc4,tc4,tc3",5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Jp,2025nytr,qm,17,b1,1591,0,0,0,0,0,0,0,0,0,"13.8,17.7,8,17.2,29.7,8.8,14.1","tc4,tc4,tc4,tc4,tc4,tc4,tc4",7,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
df,2025nytr,qm,17,b2,2791,1,0,0,0,0,0,0,0,0,"19.3,33.9,13.3,9.5,25.4,16.2,5.9,9.1","tc4,tc4,tc3,tc3,tc3,tc2,tc2,tc2",2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jp,2025nytr,qm,18,b1,3171,0,0,0,0,0,0,0,0,0,"9.3,26.6,13.9,32.5,31.4","tc4,tc4,tc4,tc4,tc4",5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Had trouble loading the coral 
CW,2025nytr,qm,18,r3,5881,0,0,0,0,1,0,0,0,1,"6.1,24.9,7.8,6.7,14.8,45.4,14.7","tc1,tc2,tc2,tc2,tc2,tc2,tc1",0,0,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JP,2025nytr,qm,18,r1,4122,0,0,0,0,2,0,0,0,1,"12.4,11.3,12.7,6.1,16.5,3.6,10.9,10.2,10.9","tc4,tap,tap,tc4,tan,tc3,tc4,tan,tc3",3,2,0,0,0,2,2,0,4,0,1,3,0,1,0,0,0,0,0
ay,2025nytr,qm,18,b3,3360,0,0,0,0,0,0,0,1,1,"46.9,11.4,32.8,26","tap,tap,tap,tap",0,0,0,0,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0
Ak,2025nytr,qm,18,r2,3117,0,0,0,0,0,0,0,0,0,"7.1,14.8,18.1,9.8,21.2,35.4","tc4,tc4,tc4,tc3,tc3,tc3",3,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
df,2025nytr,qm,18,b2,1493,0,0,0,0,0,0,0,0,0,"19.5,6.7,8","tc4,tc4,tc4",3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
