Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Number,Cycle Time,Cycle Type
NP,2025ohcl,qm,70,r1,10207,0,17.4,tap
NP,2025ohcl,qm,70,r1,10207,1,13.8,tap
NP,2025ohcl,qm,70,r1,10207,2,15.1,tc1
NP,2025ohcl,qm,70,r1,10207,3,16.9,tc1
NP,2025ohcl,qm,70,r1,10207,4,20.2,tc1
NP,2025ohcl,qm,70,r1,10207,5,19.3,tc1
NP,2025ohcl,qm,70,r1,10207,6,12.2,tc1
AR,2025ohcl,qm,70,b2,4145,0,1.8,tc4
AR,2025ohcl,qm,70,b2,4145,1,16.2,tap
AR,2025ohcl,qm,70,b2,4145,2,15.3,tc2
AR,2025ohcl,qm,70,b2,4145,3,5.1,tc3
AR,2025ohcl,qm,70,b2,4145,4,7.3,tap
AR,2025ohcl,qm,70,b2,4145,5,7.7,tc3
AR,2025ohcl,qm,70,b2,4145,6,6.9,tc4
AR,2025ohcl,qm,70,b2,4145,7,7.5,tc2
AR,2025ohcl,qm,70,b2,4145,8,15.7,tc4
AR,2025ohcl,qm,70,b2,4145,9,10.3,tap
AR,2025ohcl,qm,70,b2,4145,10,8.1,tc2
AR,2025ohcl,qm,70,b2,4145,11,21.5,tap
ML,2025ohcl,qm,71,r1,8713,0,19.7,tap
ML,2025ohcl,qm,71,r1,8713,1,19.9,tap
ML,2025ohcl,qm,71,r1,8713,2,15,tap
ML,2025ohcl,qm,71,r1,8713,3,37.3,tc1
ACS,2025ohcl,qm,71,r2,120,0,10.6,tc4
ACS,2025ohcl,qm,71,r2,120,1,22.7,tc4
ACS,2025ohcl,qm,71,r2,120,2,23.2,tc4
ACS,2025ohcl,qm,71,r2,120,3,19.9,tc4
ACS,2025ohcl,qm,71,r2,120,4,10.4,tc4
ACS,2025ohcl,qm,71,r2,120,5,14.5,tc4
mf,2025ohcl,qm,71,b1,2172,0,0.1,tc4
mf,2025ohcl,qm,71,b1,2172,1,0.5,tc4
mf,2025ohcl,qm,71,b1,2172,2,5.1,tc4
mf,2025ohcl,qm,71,b1,2172,3,43.4,tc4
mf,2025ohcl,qm,71,b1,2172,4,1.1,tc4
mf,2025ohcl,qm,71,b1,2172,5,36.6,tc4
AR,2025ohcl,qm,71,b2,4601,0,11.4,tap
AR,2025ohcl,qm,71,b2,4601,1,20,tap
AR,2025ohcl,qm,71,b2,4601,2,17.8,tap
OZ,2025ohcl,qm,71,b3,4121,0,0.1,tc1
OZ,2025ohcl,qm,71,b3,4121,1,20.1,tc4
OZ,2025ohcl,qm,71,b3,4121,2,22.7,tc4
OZ,2025ohcl,qm,71,b3,4121,3,23.2,tc3
OZ,2025ohcl,qm,71,b3,4121,4,14.6,tc3
JS,2025ohcl,qm,71,r3,8140,0,50.7,tc2
JS,2025ohcl,qm,71,r3,8140,1,12.1,tc2
JS,2025ohcl,qm,71,r3,8140,2,22.9,tc1
JS,2025ohcl,qm,71,r3,8140,3,20.2,tc1
ACS,2025ohcl,qm,72,r2,5740,0,34.4,tc4
ACS,2025ohcl,qm,72,r2,5740,1,19.4,tc3
ACS,2025ohcl,qm,72,r2,5740,2,16,tc2
ACS,2025ohcl,qm,72,r2,5740,3,3.7,tc2
ACS,2025ohcl,qm,72,r2,5740,4,11.6,tc3
ACS,2025ohcl,qm,72,r2,5740,5,30.9,tc1
ML,2025ohcl,qm,72,r1,695,0,6.7,tc4
ML,2025ohcl,qm,72,r1,695,1,12.5,tc4
ML,2025ohcl,qm,72,r1,695,2,10.4,tc3
ML,2025ohcl,qm,72,r1,695,3,5.4,tc3
ML,2025ohcl,qm,72,r1,695,4,3.8,tc3
ML,2025ohcl,qm,72,r1,695,5,5.3,tc3
ML,2025ohcl,qm,72,r1,695,6,5.2,tc3
ML,2025ohcl,qm,72,r1,695,7,11.3,tc4
ML,2025ohcl,qm,72,r1,695,8,3.9,tc2
ML,2025ohcl,qm,72,r1,695,9,5.6,tc2
ML,2025ohcl,qm,72,r1,695,10,5.9,tc4
ML,2025ohcl,qm,72,r1,695,11,13,tc3
ML,2025ohcl,qm,72,r1,695,12,16,tc4
ML,2025ohcl,qm,72,r1,695,13,8.6,tc3
JS,2025ohcl,qm,72,r3,9653,0,27.6,tap
JS,2025ohcl,qm,72,r3,9653,1,18.9,tap
JS,2025ohcl,qm,72,r3,9653,2,48.9,tap
mf,2025ohcl,qm,72,b1,2228,0,0.1,tc4
mf,2025ohcl,qm,72,b1,2228,1,10,tc4
mf,2025ohcl,qm,72,b1,2228,2,13.9,tc4
mf,2025ohcl,qm,72,b1,2228,3,13.7,tc4
mf,2025ohcl,qm,72,b1,2228,4,7.8,tc4
mf,2025ohcl,qm,72,b1,2228,5,9.4,tc3
mf,2025ohcl,qm,72,b1,2228,6,4.7,tc3
mf,2025ohcl,qm,72,b1,2228,7,17.5,tc3
mf,2025ohcl,qm,72,b1,2228,8,11,tc1
mf,2025ohcl,qm,72,b1,2228,9,41.4,tc3
AR,2025ohcl,qm,72,b2,1308,0,15.4,tap
AR,2025ohcl,qm,72,b2,1308,1,41.3,tap
AR,2025ohcl,qm,72,b2,1308,2,14.7,tap
AR,2025ohcl,qm,72,b2,1308,3,19.5,tap
AR,2025ohcl,qm,72,b2,1308,4,14.4,tap
AR,2025ohcl,qm,72,b2,1308,5,23.8,tap
OZ,2025ohcl,qm,72,b3,2399,0,0.1,tc4
OZ,2025ohcl,qm,72,b3,2399,1,7,tc4
OZ,2025ohcl,qm,72,b3,2399,2,8.5,tc4
OZ,2025ohcl,qm,72,b3,2399,3,8.6,tc4
OZ,2025ohcl,qm,72,b3,2399,4,8,tc4
