Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Time,Cycle Type
" ""ZS",2025nyro,qm,8,r3,8393,10.4,tc3
" ""ZS",2025nyro,qm,8,r3,8393,45.9,tap
" ""ZS",2025nyro,qm,8,r3,8393,8.2,tap
" ""ZS",2025nyro,qm,8,r3,8393,12.2,tc2
" ""ZS",2025nyro,qm,8,r3,8393,16.9,tap
ER,2025nyro,qm,8,b1,6868,0.1,tc4
ER,2025nyro,qm,8,b1,6868,34.9,tap
ER,2025nyro,qm,8,b1,6868,52.5,tc4
ER,2025nyro,qm,8,b1,6868,19.9,tc4
eg,2025nyro,qm,9,b3,7165,19,tc3
eg,2025nyro,qm,9,b3,7165,7.9,tc3
eg,2025nyro,qm,9,b3,7165,85.8,tc2
eg,2025nyro,qm,9,b3,7165,14.6,tc1
np,2025nyro,qm,9,r3,578,46.5,tc4
np,2025nyro,qm,9,r3,578,5.3,tc4
np,2025nyro,qm,9,r3,578,14.3,tc3
np,2025nyro,qm,9,r3,578,14.4,tc3
np,2025nyro,qm,9,r3,578,9.2,tc2
np,2025nyro,qm,9,r3,578,7,tc2
np,2025nyro,qm,9,r3,578,10.8,tc4
ER,2025nyro,qm,9,b1,1405,0.1,tc3
ER,2025nyro,qm,9,b1,1405,0.4,tc3
ER,2025nyro,qm,9,b1,1405,9.1,tc3
ER,2025nyro,qm,9,b1,1405,8.9,tc3
ER,2025nyro,qm,9,b1,1405,11.8,tc3
ER,2025nyro,qm,9,b1,1405,8.5,tc2
ER,2025nyro,qm,9,b1,1405,11.5,tc2
ER,2025nyro,qm,9,b1,1405,6.5,tc4
ER,2025nyro,qm,9,b1,1405,11.6,tc4
CD,2025nyro,qm,9,r2,1507,6.9,tc4
CD,2025nyro,qm,9,r2,1507,10,tc4
CD,2025nyro,qm,9,r2,1507,9.8,tc4
CD,2025nyro,qm,9,r2,1507,20.3,tc4
CD,2025nyro,qm,9,r2,1507,18.5,tc3
CD,2025nyro,qm,9,r2,1507,15.6,tc3
CD,2025nyro,qm,9,r2,1507,8,tc2
CD,2025nyro,qm,9,r2,1507,7.5,tc2
CD,2025nyro,qm,9,r2,1507,12.3,tc4
