Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Coral Level 4,Auto Coral Level 3,Auto Coral Level 2,Auto Coral Level 1,Auto Algae Processor,Auto Algae Net,Leave,Cycle Timer,Cycle Type,Teleop Coral Level 4,Teleop Coral Level 3,Teleop Coral Level 2,Teleop Coral Level 1,Teleop Algae Processor,Teleop Algae Net,Teleop Algae Removed From Reef,Pickup From Floor,Pickup From Coral Station,Endgame State,Played Defense,Was Defended,Died,Tippy,Yellow Card,Red Card,Egregiously Bad Event,Comment
df,2025nyro,qm,10,r1,3003,0,0,0,0,0,0,1,"14.2,50.3,16.1","tc4,tc4,tc4",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
np,2025nyro,qm,10,r3,271,0,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,did a very good job defending
AC,2025nyro,qm,10,b1,6621,1,0,0,0,0,0,1,"28.1,9.5,38.7,9.4,15.9,10.3","tc4,tc4,tc3,tc3,tc3,tc4",3,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,attempted deep climb but fell
bo,2025nyro,qm,11,r2,7903,0,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,drivebase
df,2025nyro,qm,11,r1,4930,0,0,0,0,0,0,0,"52.6,17,15.6,11.4,14.5","tc2,tc3,tc3,tc1,tc2",0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
cc,2025nyro,qm,11,b3,3173,2,0,0,0,0,0,0,"0.9,10.9,15.3,19.4,16.1,7.8,20.9,10.3","tc4,tc1,tc3,tc3,tc1,tc3,tc1,tc2",1,3,1,3,0,0,1,0,1,3,0,1,0,0,0,0,0
JS,2025nyro,qm,11,b2,1591,2,0,0,0,0,0,0,"0.1,10.6,13,11.5,32.8,12.2,20","tc4,tc4,tc4,tap,tc3,tc3,tc2",3,2,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,tried a deep climb
AC,2025nyro,qm,11,b1,3004,0,0,0,0,0,0,1,2.5,tc1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,ball got stuck under
ZS,2025nyro,qm,11,r3,8243,0,0,0,1,0,0,1,"32,35.6,23.8,15,13.2,8.3","tc3,tc2,tc2,tc2,tc1,tc1",0,1,3,2,0,0,3,0,1,1,0,0,0,0,0,0,0
JS,2025nyro,qm,12,b2,1559,0,0,0,0,0,0,0,"0.1,18.7","tc3,tc3",0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
