Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Start Location,Auto Amp Scores,Auto Scoring Locations,Auto Pickup Locations,Cycle Timer,Teleop Scoring Locations,Teleop Missing Locations,Teleop Amp Scores,Pickup From Floor,Pickup From Source,Played Defense,Died,Tippy,Dropped Notes,Yellow Card,Egregiously Bad Event,Comment,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,16,b2,3193,25,0,,,"22.4,15.7,7.4,27.9,7.3,5.3","75,99,a,74,99,98","100,98,98",1,1,0,0,0,0,0,0,0,kinda good but can only shoot from subwoofer,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,17,b3,7709,37,0,98,,"15.9,48.4,5.9,6.3,22.7","98,98,97,98,97","121,98,145",0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,17,b2,564,13,0,49,,"63.3,60.3","98,74",122,0,0,1,0,0,0,0,0,0,slow an can only pick up from source but slow at it,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,17,b1,3838,13,0,"74,74","4,7","19.3,5.7,6.7,58.3,31.8","74,75,98,73,99","50,155,50,25",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,17,r2,7036,24,0,118,,,,118,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,17,r1,1511,25,0,122,7,"43.6,0.8,58.2","91,22,141","211,91,91",0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,17,r3,3951,24,0,117,,,,,0,0,0,1,0,0,0,0,1,hooked by note all match,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,18,r2,8145,12,0,71,,"74.4,16.6,27.4","118,118,118",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,18,r1,120,24,5,118,6,"25.9,18.1,42.4,18.1","117,94,143,118",,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,18,b3,1585,13,0,,,104.2,97,,0,0,1,0,0,0,0,0,0,doesn't shoot very well,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,18,r3,6300,36,0,143,,"28.5,14.7","a,a",48,2,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,18,b1,424,25,0,,,,,,0,0,0,0,0,0,0,0,0,:(,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,18,b2,3173,13,0,"50,53,50,32","2,1,4","11.7,10.5,10.2,4.7,4.6,7.9,23.1,30.7,6.4,18.1","a,a,75,75,76,a,a,78,76,53",,4,1,0,0,0,0,0,0,0,fast and good scoring,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,19,r2,870,36,0,"95,93,141","9,6",86.2,a,,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,19,b3,5528,13,0,49,,"16.3,16,55.5,13.4,14.3","98,98,121,98,98",73,0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,19,r1,6353,48,0,,,,,,0,1,0,0,1,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,19,b2,1591,13,0,126,,"15.8,17.2,15,31.1,19,25.3","a,76,100,a,a,a",99,4,1,0,0,0,0,0,0,0,"pretty fat and good amp scoring, missed a lot in auto",,,,,,,,,,,,,,,,,,,,,,
