Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Start Location,Auto Amp Scores,Auto Scoring Locations,Auto Pickup Locations,Cycle Timer,Teleop Scoring Locations,Teleop Missing Locations,Teleop Amp Scores,Pickup From Floor,Pickup From Source,Played Defense,Died,Tippy,Dropped Notes,Yellow Card,Egregiously Bad Event,Comment,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,73,b1,578,13,0,"98,74,74","4,7","8.3,14.4,14,41.2,19.7,28.1","98,75,75,98,75,74","74,74",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,73,r3,2340,24,0,94,,"47.4,56.2","94,118",,0,0,1,0,0,0,0,0,0,slow and slow at scoring,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,73,b3,7036,1,0,,,"8.8,13.4,61","a,a,a",,3,1,0,0,0,0,0,0,0,slow with what appears to be drive issues,,,,,,,,,,,,,,,,,,,,,,
sl,2024nyro,qm,73,b2,3838,25,0,73,,27.4,74,,0,1,0,1,0,0,0,0,0,"very slow, clunky driving, passed ",,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,74,r1,6621,24,0,"71,71",3,95.1,94,"227,251,252,228,252,252,228,228,94",0,1,0,0,0,0,0,0,0,ferryed notes most f math,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,74,r2,5740,24,0,"48,44",3,"19.7,10.1,21.4,9.5,27.4,32.8","140,93,92,141,117,165",93,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,74,r1,6621,36,0,94,,97.9,118,118,0,0,0,0,0,0,0,0,0,"had someone on the naughty list, 6061 relayed",,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,74,r3,3173,60,0,282,"14,11","7.1,11.7,13.6,22.9,8.4,15.5,17.6,23.9,2.9,4.3","a,a,a,94,118,a,a,94,118,94",,5,1,0,0,0,0,0,0,0,amazing as always,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,74,b3,1591,25,0,"141,93,71","8,5","16,28.7,3.6,13.4,6.8,14.7,14.7,24.3","98,98,99,98,a,a,99,99","98,98",2,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
sl,2024nyro,qm,74,b2,694,25,0,98,7,"1.6,4.9,19.6","a,a,a",,3,0,0,0,0,0,0,0,0,note stuck,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,75,r1,533,24,0,47,,"21.5,23.8","a,a",,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,75,r3,1308,24,0,94,,"39.1,36.5,54.9","a,a,a","119,94",3,1,0,0,0,0,0,0,0,slow and bad atscoring,,,,,,,,,,,,,,,,,,,,,,
sl,2024nyro,qm,75,b2,3951,13,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,75,b3,27,1,0,"74,77,55","4,1,2,5,8","21.7,6.9,2.7,19,31.2,11.4,11.7","118,94,118,118,118,142,118",,0,1,0,0,0,0,0,0,0,climbed and are an exceptional passing robot,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,75,b1,3181,25,0,"147,147","7,11","9.2,18.1,13.3,23.7,20.9,20.9","a,a,a,a,a,50",98,5,0,0,0,0,0,0,0,0,might've scored on the speaker another time,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,75,r2,6300,24,0,"94,44",3,"62.2,20.8,40","94,118,94","93,95,118,119",0,1,1,0,0,0,0,0,0,too powerful shooter b9unced out,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,76,r1,1585,60,0,,,,,"94,272,253",0,0,1,0,1,0,1,0,0,"pushed increadaky easily, died after gettinhit",,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,76,r2,3117,24,0,"77,71",3,"24.5,11.9,22.8,25.5,9.9","a,117,117,94,118","118,119",1,1,0,0,0,0,0,0,0,can trap,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,76,r3,1511,24,0,71,6,"8.4,18,8.7,24.7,13","a,a,119,a,a",,4,1,0,0,0,0,0,0,0,kinda good,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,76,b1,3015,49,0,"195,223,82,127","14,5,8","6.3,18.9,14.8,21.8,9.7,18.1","a,a,147,100,a,99",,3,1,0,0,0,0,0,0,0,can trap,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,76,b3,1126,13,0,,1,"13.7,24.7,28,41.5","a,99,a,a","98,98",3,1,0,0,0,0,0,0,0,struggle to score,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,76,b2,334,13,0,"98,74,74","7,4","0.1,18.6","74,75",,0,1,0,1,0,0,0,0,0,"trouble with intake, accidentaly put down 2 extra auto picr",,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,77,r1,6868,24,0,71,,"63.8,20.8,24.8","119,94,118","118,72",0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,77,r3,5528,12,0,"118,94",6,"25.5,4.2,14.2,38.8,32.3","94,94,94,94,118",,0,1,0,0,0,0,0,0,0,pretty decent,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,77,b1,564,13,0,49,,111.1,99,99,0,1,1,0,0,0,0,0,0,intake and shooter seemed to have some issues,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,77,b2,870,25,0,122,7,"0.1,4.7,4.8,8.5,11.6,12.5,6.6,11.7,14.1,7.8,12.9","98,74,74,73,98,74,74,74,99,75,75","74,74",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ED,2024nyro,qm,77,b3,271,13,0,,,,,147,0,1,0,1,0,0,0,0,0,"played almost entirely defense, tried to score once and missed",,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,77,r2,1507,36,0,"118,91,84","6,5","17.8,33,19","a,118,117",,1,1,1,0,0,0,0,0,0,got defended ,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,78,r3,1450,24,0,,,,,,0,0,0,0,0,0,0,0,0,bad,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,78,r1,424,24,0,"119,94","3,9","14.6,21.5,7.7,22.8,19.1,25.9","95,119,118,94,95,94",,0,1,0,0,0,0,0,0,0,"didn't park, had time to",,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,78,b1,4458,13,0,"99,98,74","4,7,1","0.1,6.2,13.1,11.3,4.1,9.5,6.6,15.5,40,4.1,3.8","75,a,a,74,74,a,a,74,99,99,75",,4,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ED,2024nyro,qm,78,b3,1559,37,0,,,"32.6,15.9","147,101","171,171,171,76,148",0,1,0,0,0,0,0,0,0,passed once when blocked by defense,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,78,b2,191,13,0,,"5,2",,,,0,1,0,0,1,0,0,0,0,"robot worked in auto, died as teleop started.",,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,80,r1,340,48,0,"166,142","14,11,8","9.3,7.3,14.9,23.5,13.9,6.6,29.5,12","142,142,69,142,118,93,117,117",92,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,80,r3,3044,24,0,94,,"22.1,36.1,23.4,29.1","95,94,94,94",,0,1,0,0,0,0,0,0,0,slow,,,,,,,,,,,,,,,,,,,,,,
ED,2024nyro,qm,80,b3,4930,1,1,,,"0.1,11.6,36.5,33.2,17.2,23.1","a,a,a,a,a,a",,6,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,80,b2,6353,25,0,,,"0.1,66,11.8","98,74,74","264,98,75",0,1,0,0,0,1,0,0,0,bumper almost fell off again,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,80,b1,8595,13,0,118,8,"78.7,0.5,2.2,0.5","98,73,122,98",,0,1,0,0,0,0,0,0,0,made oopseys ,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,81,r1,378,36,0,"94,94","6,3",11.7,95,117,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,81,b2,7709,13,0,"98,74","7,4","1.4,10.1,21.3,19.5,16.2,5.2,19,14.6,8.4","74,74,75,98,98,99,75,74,99",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,81,r2,3003,24,0,,3,"17.9,3.5,14.8,14.5,22,16.8,36.9","115,165,118,118,141,93,93","116,116",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ED,2024nyro,qm,81,b3,1518,1,0,26,,0.1,a,,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,81,b1,8145,25,0,98,,"20.9,23.2,21.9,26.6","121,98,49,98",74,0,1,0,0,0,0,0,0,0,no climb,,,,,,,,,,,,,,,,,,,,,,
AA,2024nyro,qm,81,r3,639,24,0,,,"31.1,17.6,18.1,24,0.1,0.3","46,45,118,118,a,a",,2,1,0,0,0,0,0,0,0,scouting wild fr,,,,,,,,,,,,,,,,,,,,,,
